"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест получения списка всех категорий.","19","test_get_all_categories","tests.integration","2026-02-14","passed","2026-02-14","TestCategoriesAPI","test_adv","",""
"Тест проверяет вызов session.execute с правильным SQL","4","test_create_calls_session_execute_with_correct_sql","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Тест проверяет выброс исключения при отсутствии объявления","1","test_delete_advert_raises_on_not_found","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceLondon","test_advert_service_london","",""
"Тест проверяет выбор правильного метода репозитория","1","test_get_adverts_by_category_and_keyword_calls_correct_method","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceLondon","test_advert_service_london","",""
"Позитивный тест частичного обновления объявления","11","test_partial_update_advert_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Тест проверяет вызов commit после успешного создания","2","test_create_calls_session_commit","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Позитивный тест поиска по категории","4","test_get_adverts_by_category_success","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест поиска по категории","1","test_get_adverts_by_category","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
"Негативный тест получения несуществующего объявления","2","test_get_by_id_not_found","tests.unit.advert_repo","2026-02-14","passed","2026-02-14","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Негативный тест получения несуществующего объявления","1","test_get_advert_not_found","tests.unit.advert_service","2026-02-14","passed","2026-02-14","TestAdvertServiceClassic","test_advert_service_classic","",""
